SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
YC.JG.ZS001442.01,PROPELLER  (CCW),6,0,AIR 2S,,
YC.JG.ZS001440.01,PROPELLER (CW),3,2,AIR 2S,,
BC.MA.AA00103.01,LOW - NOISE PROPELLER A (CCW),13,0,AIR 3,,
BC.MA.AA001704.01,LOW - NOISE PROPELLER B (CW),13,0,AIR 3,,
BC.MA.SS000748.01,PEAR ARM MODULE (LEFT),1,4,AIR 3,,
BC.MA.AA002393.01,AIRCRAFT MIDDLE FRAME MODULE,6,,AIR 3S,,
BC.MA.SS000747.01,FRONT ARM MODULE (LEFT),2,,AIR 3S,,
BC.MA.SS000749.01,FRONT ARM MODULE (RIGHT),2,,AIR 3S,,
BC.MA.SS000750.01,PEAR ARM MODULE (RIGHT),1,,AIR 3S,,
BC.MA.SS000780.01,AIRCRAFT LOWER COVER MODULE,1,,FLIP,,
YC.JG.ZS005708.04,AIRCRAFT UPPER COVER,2,,FLIP,,
BC.PF.AA000538.01,LEFT PEAR DUOT MODULE,1,,FLIP,,
BC.PF.AA000540.01,LEFT REAR DUCT MODULE,2,,FLIP,,
BC.PF.AA000539.01,RIGHT FRONT DUOT MODULE,2,,FLIP,,
BC.PF.AA000541.01,RIGHT PEAR DUOT MODULE,2,,FLIP,,
YC.SJ.GG000034.03,PRESS DOWN QUICK RELEASE PROPELLER,20,0,M2EA,,
YC.JG.ZS001863.03,AIR INLET DECORATIVE COVER,3,2,"M30 , M30T",,
BC.EN.SS000487.01,AIRCRAFT LOWER COVER MODULE,6,0,"M30 , M30T",INVENTARIO_Images/BC.EN.SS000487.01.IMAGEN.142743.jpg,CAJA M30T
BC.EN.SS000472.01,AIRCRAFT UPPER COVER MODULE,6,0,"M30 , M30T",,
YC.XC.TT000115.03,ANTENNA FEEDER (BLUE),4,1,"M30 , M30T",,
YC.XC.TT000114.03,ANTENNA FEEDER (RED),5,0,"M30 , M30T",,
YC.JG.ZS001802.03,BACK COVER,6,0,"M30 , M30T",INVENTARIO_Images/YC.JG.ZS001802.03.IMAGEN.143130.jpg,CAJA M30T
YC.JG.ZS001861.01,BATTERY COMPARTAMENT FRONT COVER,2,,M30,,
BC.EN.SS000495.01,BATTERY COMPARTAMENT MODULE,3,,M30,,
YC.JG.ZS001782.04,BATTERY RELEASED TOGGLE (LEFT),5,0,"M30 , M30T",,
YC.JG.MY000702.02,DAMPER,10,,M30,,
BC.EN.SS000493.01,ESC BOARD MODULE,6,0,"M30 , M30T",INVENTARIO_Images/BC.EN.SS000493.01.IMAGEN.161538.jpg,CAJA M350 RTK
BC.EN.PP000424.04,FLEXIBLE FLAT CABLE CONNECTING AD8-B,1,,M30,,
BC.EN.PP000601.02,FLEXIBLE FLAT CABLE CONNECTING LEFT V/SLOT,1,4,"M30 , M30T",,
BC.EN.PP000602.02,FLEXIBLE FLAT CABLE CONNECTION RIGHT VISION BOARD AND ADS - B,3,2,"M30 , M30T",Unable to load image data. Image may be missing or upload size may be too large for this device.,CAJA M30T
BC.EN.SS000553.01,FRAME ARM ADAPTER (M1),5,0,"M30 , M30T",Unable to load image data. Image may be missing or upload size may be too large for this device.,
BC.EN.SS000555.01,FRAME ARM ADAPTER (M3),8,0,"M30 , M30T",,
BC.EN.SS000556.01,FRAME ARM ADAPTER (M4),7,0,M30,Unable to load image data. Image may be missing or upload size may be too large for this device.,
YC.JG.ZS001807.04,FRAME ARM ADAPTER LOWER COVER (M1),4,1,M30,,
YC.JG.ZS001809.04,FRAME ARM ADAPTER LOWER COVER (M3),4,1,"M30 , M30T",,
YC.JG.ZS001810.05,FRAME ARM ADAPTER LOWER COVER (M4),2,,M30,,
